Solved Time,Scramble,Type
11.15,U2 D B L2 F2 U2 D' B R2 U F2 D2 L R2 U' B' D F' B D ,ok
10.9,R U' D' B2 R U2 D2 L R2 D' F2 B2 D2 F' B2 D U2 F B D' ,ok
11.99,F' L' U D2 F2 U2 D F' U2 L2 B D U R' F2 L2 U B' F U ,ok
12.51,U L2 R B F' U R' D' F2 R' B' D L' F2 R2 B' D' L U R ,ok
11.13,U' D F L' U R' D' B2 U R L2 U2 D' L' U R2 F2 U2 B2 L2 ,ok
11.25,U2 D2 L' R2 F B U F D B' R' F' B R2 D2 B2 U2 L' F U ,ok
10.72,B2 D R' L2 U2 F' D L' R D' L R F2 L B2 F' U' D B L' ,ok
11.12,F R B D R2 L D U' F2 R' U' D L B2 F' U2 D F' B L' ,ok
12.14,D F R U2 D B F D2 R2 L B2 U2 F2 L2 R D' B' U R' L ,ok
10.0,R' U D2 F2 L2 D' U R2 F' B L D2 F' R L2 F2 B R' L B ,ok
13.4,F' L' B' U' L R2 B' F2 D2 U' R2 L B D2 U B' R' D2 L U' ,ok
11.06,R' B' L U2 F' L' D F U B D' U2 L F' D2 U' F' L D2 B2 ,ok
11.89,D' F2 B2 U R' D B' F' U' R' B' F' U2 D F' L R D' F B' ,ok
11.28,U B' F R' B2 U2 F L U2 B2 R' L' B U2 L D F' U R L2 ,ok
13.13,U2 B L2 R2 D2 U2 R2 L2 D2 U2 R2 B U2 L' F R D2 B2 U R' ,ok
15.35,R' D' F2 L2 D2 B R2 U' F' D2 B' R2 F2 D2 U2 F L' D2 R2 F2 ,ok
12.65,B U L2 D' U2 B2 R F' U D2 B F R U' B F2 U2 B2 R' F2 ,ok
12.99,B' L2 D' U2 R2 B F2 U R' B2 F R' B L2 U B R D L2 B2 ,ok
10.03,B' L2 U R2 L2 D B' U' L' B' D' F' R L' D' U R2 L' B' D ,ok
12.28,L' F U' L2 F' B' R F D B' L2 F2 R' D L2 B2 D2 R' L' U' ,ok
11.96,U R2 B' F2 U2 L D2 B F' U' D B' U' F' L2 R2 U2 F R U2 ,ok
10.91,R2 U L2 F2 R U2 F B' R2 L U' F2 D2 R' F U L F2 D2 U' ,ok
11.73,L U' R B2 D R' F2 B U2 R F' L2 B F2 U' D F' R L' D ,ok
10.85,L' D R2 L2 F2 R U F L' R2 F' L2 B' R D2 L U D' F2 L' ,ok
16.27,B2 R2 U D2 L2 B' F R' B2 U2 L F R' L2 F2 U' B L D' B2 ,+2
11.72,B' R U2 B D R2 B2 F' D2 B U' F' D2 U' L2 B' U2 R B F2 ,ok
10.38,L F' U2 R2 D' U2 R B U L' F D2 L' R' U' D L' F2 B' D ,ok
11.42,D2 R' L' D' U' F B' U' F R U F D R B2 D L' B' F L2 ,ok
11.48,F B U2 L' D' U' R' D' L2 R2 D2 U2 L' D B' R U L D R ,ok
11.63,R2 L' U2 B L R D L F' B U' D2 L U' R2 L' U D2 F R2 ,ok
11.65,U L2 F' R2 B2 U' D2 L' U' D2 L F2 U R B D2 L2 B R' F' ,+2
12.65,F R' L D U' R' B2 D2 F' U2 L B2 R U' F' L2 R' D F2 R ,DNF
10.86,R' D' F B2 D F R' L2 U' R D B L U R2 B' D' F U D ,ok
9.37,L' B' U' R B' L2 F2 U L2 D2 R F U' B2 L2 D B2 U2 R B2 ,ok
15.0,B' D2 R' L U F D2 L' B2 U2 D' B2 F D' L' R F D L2 R ,ok
11.94,U' F2 R2 B L U2 F R U' L F2 B' D2 L2 U' R B2 F' U' B' ,ok
12.79,U' R D' F' R' B2 F' R L' F' B' R2 L F D B' U' L' B U ,ok
9.5,R' D' L F' B D F R' U2 B2 D' U F R2 B2 F R2 D2 L' B2 ,ok
12.62,L2 U' D L F' B2 L D' R' L2 D2 U B2 L2 F2 U2 R' L' D' R2 ,ok
11.32,B' U2 D' L2 U2 D F2 U2 R2 L F2 B' U F' R B U D' L' R2 ,ok
12.36,F2 B2 D U L' B R D' U2 B L2 R F2 L R F' L2 U D' R ,ok
9.9,B' L' D2 R B D' R2 L' B' R' U' L R F U2 L2 B U' R' D ,ok
8.79,L F2 U L2 B U' F' L' D B2 F2 U2 R B2 D L' B F D' B' ,ok
11.6,U L' R F' D2 U2 L2 R B2 D F' U D R U F' L' U' F' B' ,ok
8.49,F2 D2 L2 U' D F B2 D' R2 L2 U2 F L2 U D F B' R L2 D2 ,ok
13.57,F2 R D2 F2 U B' L D' U2 R L' F' D' U L2 F R U' F' B' ,ok
13.44,D' F' L' R' B' D2 F2 U2 B2 L2 D' R2 B U D L' R2 F2 L2 B ,ok
11.42,D U' B2 D' U2 L F2 R L F U' R2 F' B D L' B2 R2 D' U2 ,ok
11.33,L2 R F U2 D2 B F' L R D F' B' U2 L2 R D U R2 D B2 ,ok
13.4,D F' R' B2 L' R2 U B2 F2 R' L U D2 R' B2 D' U2 R L2 B2 ,+2
12.65,R D' F2 U2 L F D2 R F2 B' R2 U' B L U D2 R2 B2 U L ,ok
10.92,R2 B' D2 R U' F' D B2 R2 F B' D2 U' R2 D L F' R D2 L' ,ok
10.98,U2 B' D' F' R B2 D2 R' L' U R D' B L U2 D L' R' D B' ,ok
11.69,B D' F' B R U B F D L B2 R' U2 F R D F' R' B' L' ,ok
11.77,U' L R D2 B2 F L' B D2 L' B D2 F' B D R2 L F2 D2 L2 ,ok
11.53,D2 L' R D2 L2 F' R2 U B R U' D B' F2 U B2 F2 L' D B ,ok
13.96,D B' U2 F R' D L' F2 B2 R2 U2 F' B' L2 R2 D' B' L' R' B2 ,ok
13.04,U' R' L' F B D2 L' U' R2 F B' D' L' R U2 F R2 D' U2 F' ,ok
12.55,U2 D F' U R2 L2 F' R' D2 B U' F2 R' L' D2 U F L' B2 U2 ,ok
12.5,U2 D R' L' U2 R' L F2 U' R' L2 U F' L U F' L2 D2 F B ,ok
14.61,B' L D R' U2 D2 B' U' D' R B L U2 R' D2 L' U2 F2 B R2 ,ok
12.25,R2 B' F2 D R' U D L U B2 D' R' U2 L' R2 F2 U B2 D' F2 ,ok
13.1,R2 L' B F' D2 B2 F2 D R' U' F' B R U L' B2 U R2 L D2 ,+2
13.66,D U B R' D L' R2 F' B' L U' B L R' F' U2 D2 F2 L2 R ,ok
12.07,R' L D' R2 F B2 D R2 U' L2 B F U2 D2 L2 F' U' L R2 U ,ok
12.96,L D' U' R L D' B' L2 U' D' R U' D2 F B2 D2 U R' B U ,ok
11.96,B2 F' U B' D F U2 L2 R' B' U L' D F' B' R' U' B2 L2 F' ,ok
12.02,R2 L2 F D' B2 L' D R' F2 L' R D U' B D' U2 R2 D' U' F2 ,ok
11.22,B U' F2 D U' L2 D' U' F2 B R' F' U' R B D2 R' U L D ,ok
10.35,R U L' R B2 L2 F2 B D U F2 R2 B2 D' F2 U' L2 R F' D2 ,ok
12.72,B' U' D B2 F2 R2 U2 B L' F2 U' L D2 B U' R F' B U2 D ,ok
15.3,L2 R' F' U2 D' F R' B2 L2 R' U F B U D' L' F' R2 B' D ,ok
13.51,L B' D2 U L2 D' U F' R D2 B' U2 F2 R2 U F B2 R2 U B2 ,ok
10.02,F' D2 B2 L' F2 D2 L' U2 B D' L2 B2 F' D2 R U L2 R' B U ,ok
11.64,B2 F U R' F D2 L' U' B2 R D' F' B' U' D R L' F U B2 ,+2
12.84,R' L2 U B' F U2 B2 F2 L2 D' U L D' B2 F2 L' R F' D U ,DNF
12.05,U2 R2 F L2 D2 B2 U F' L2 D B' R' D L' R' F' B L' D U2 ,ok
10.95,L' D R2 B2 L U' F2 L2 D' U F' L2 U2 R' B L F' D2 U2 F' ,ok
11.38,B L2 U' B2 F L2 B' D' L' F2 U' R L F U2 L' D R' L B' ,ok
11.62,D' U2 R' L F U2 L R B2 U' D2 R' U' D' L2 F' D2 R2 F' B' ,DNF
12.42,U D2 R B' F' U2 D' F' B2 D U2 R L U R' D' F B2 D L' ,ok
12.38,L B' R2 D2 F R' U' F L B F' R U' D' F L' D F' B2 U ,DNF
11.27,L' F' U2 D R B2 D R2 B L2 R' U2 B' R F2 U' R' L D F ,ok
11.71,F2 B R' U B F2 R D' U2 R' D2 U2 B2 R U2 D2 L' U F2 B' ,ok
15.77,D2 L R' F2 U' L D2 F' L U R' D U2 L' D' U' L2 R D B ,ok
13.4,L R U L2 R2 B D2 L' B D2 F2 R D' B' U' D B' U' R' D' ,+2
12.4,U2 R B2 F' U2 B' L F' D2 U' F' B2 R D F' U2 B' R2 F D2 ,ok
11.76,D2 L' R' B F' D U' R' B' L2 F' D U' L' B U F B2 D2 R2 ,ok
12.46,R2 L' D2 R' U B' F2 U L' D2 R2 B2 F2 U2 B F2 D B' L U' ,ok
10.92,D' B2 F2 L R' U2 B' L D U' B' L D2 R' F' B L F2 D R ,ok
12.81,U D2 F' B2 D2 U R' B' L2 U2 R F2 D2 R U' F B' L2 R U ,DNF
13.2,U B2 F L R F2 U B' F R2 U F2 B' U2 D2 B' F' U2 L2 D ,ok
14.08,D' B' L U2 F D L2 F U' D2 L B' F L' U' F R' B F2 L2 ,ok
11.43,L D F U2 R' B D2 U' R B U' L2 F2 B U L' D U2 B R ,ok
11.5,F2 U L2 B R U2 F' D' L2 B U' R2 L D2 U2 B F L2 B2 F2 ,ok
11.45,R B L2 R2 F2 D' L' F R2 U' D' B F2 U2 B F D U B' L2 ,ok
14.22,B' D R' U B' F2 D' U' R2 D2 B R L2 F2 U D2 B2 R' D U ,ok
16.74,R' B L D F B U R2 F' B' L' U2 B D' F' L2 U2 D B F ,+2
10.14,D R' U L' D' F2 U L B R2 F B2 U' D2 B U L R2 B2 U' ,ok
11.92,B U R2 D2 B2 U' L2 R' B2 D R U B2 F2 D2 U R' L F2 D2 ,ok
13.34,U2 D' R' F' D U2 R' B' D U L2 B2 F2 L2 U' D2 F2 L2 U2 B ,ok
12.79,U L B2 R2 L2 F' U2 R' L2 F2 D2 L B2 F' U L R B F D2 ,ok
11.33,R L' B2 U2 R2 F' B' R' D2 B' L2 D' F L' R' D U' R' B D ,ok
14.21,F U2 R2 L' B D' R2 U2 L B U2 F2 L2 U' F R2 B U L2 F ,ok
11.12,U2 R2 F L U2 D B L' R F B' U R D F2 U' D L2 B2 U2 ,ok
11.25,B' R U2 F B D' L' U' F' L2 R D' L' U2 B2 F' L' D' R2 B' ,ok
15.26,F2 B' R' U D B' U' R F U2 R D2 F2 U2 L2 D2 B2 L2 U' B' ,ok
13.36,F U2 L2 R B F R2 D U' L' D F U L' R D B2 U2 D2 B2 ,ok
11.28,D' L R F' U' R L F' D B' R2 U B F D R L' D2 U' R2 ,ok
11.61,L' D2 R L' U F D' L2 F2 U' B D U2 B L' D' F R2 B L ,ok
11.21,L U2 D B2 L2 F' U2 D2 B2 R' L B' R D' F2 L U F D R' ,ok
10.3,F' L' U' D2 B R U' L' B' F L2 D B' U' D B2 R2 F' L2 U' ,ok
12.14,L B U' D' B R' L F' B' D' R2 L' F' U B2 L D R B2 L' ,ok
10.9,B2 U' L R2 U L' F2 B2 U2 L' F2 U2 B' R L2 D R2 U' B' D' ,ok
11.19,L2 U2 F' R' D' L' R B' U' D2 L F2 U D L2 B2 U D B F' ,ok
11.5,D2 F L B' U2 F' B R2 D' L2 R2 U2 L B2 D F B2 D' R' B2 ,ok
11.06,U F' B2 D2 U' F R2 B2 D' F2 R2 U B F2 L' U' R' F U' D2 ,ok
11.2,U2 D2 B F2 D' U' L2 R2 U F L U2 B' F2 R' B D R' L U2 ,ok
13.03,F B2 R2 U' L B F L2 D2 F B' U' F' B2 L2 U F' B' L U ,ok
13.47,R2 L B' D2 U L' R D2 L' B2 R' U F2 L D B' F' L R' B2 ,ok
13.44,F L R' B F' L2 R2 F' D B2 F L' R2 U2 F B U2 L' D R' ,ok
12.19,D R L' D' U' R' B' F2 D2 U B' F D' R F U L' F U' B' ,ok
12.59,D' F U L2 R2 D U R D2 L2 R2 F L' R2 U L D' F2 U' L' ,ok
11.07,L' F U' D2 B2 R' F D2 U2 B F L R' D U2 F D2 U' B' L ,ok
11.75,U2 R2 F B2 L U2 F D2 L' U B2 D F R L' F D B U' D ,ok
11.93,L2 B2 F2 R' U' L2 D2 R2 F U' L' F R B2 D R U2 F' B' L2 ,ok
8.48,R U' L' F D' L2 B' D' U B L' R U' D2 L B' F2 U R' B' ,DNF
11.33,F L2 R2 U' L' B' D R2 F B' L2 U D B F' L U2 D F' U ,ok
